Date;Google trends;Cours;Nombre utilisateurs;Volume transaction;Recherches Youtube;Revenus des mineurs;News du bitcoin;USA unemployment;Gold price
25/05/2013;15;11.47526502;28.89182438;26.1523087;15;11.29227826;6;7.5;1385.25
26/05/2013;15;11.74558304;25.12585263;7.463332217;15;10.62192444;6;7.5;1385.25
27/05/2013;15;11.39045936;28.53059852;9.748091472;14.71428571;11.26473644;6;7.5;1385.25
28/05/2013;15;11.23498233;27.31818619;18.29814686;14.42857143;10.29106463;6;7.5;1379.0
29/05/2013;15;11.42844523;32.03429724;16.22538664;14.14285714;10.79748614;6;7.5;1384.5
30/05/2013;15;11.40547703;30.36410798;16.38639857;13.85714286;10.93307832;6;7.5;1406.25
31/05/2013;15;11.30300353;29.96733596;18.22730161;13.57142857;11.69056582;6;7.5;1410.25
01/06/2013;15;11.31625442;28.35671054;10.29821556;13.28571429;12.5959053;6;7.5;1410.25
02/06/2013;14.57142857;10.77208481;24.34287636;12.22220075;13;12.12310975;5;7.5;1410.25
03/06/2013;14.14285714;10.5229682;28.01469882;19.34697856;13.28571429;12.36735029;5;7.5;1396.75
04/06/2013;13.71428571;10.68021201;30.51109617;23.5681746;13.57142857;12.51998735;5;7.5;1405.25
05/06/2013;13.28571429;10.69876325;32.41281583;18.11019227;13.85714286;12.22293863;5;7.5;1396.5
06/06/2013;12.85714286;10.57685512;28.86828706;17.27024671;14.14285714;10.59650999;5;7.5;1399.5
07/06/2013;12.42857143;9.924911661;29.0633106;25.33297267;14.42857143;8.761362152;5;7.5;1410.0
08/06/2013;12;9.635159011;24.52396964;14.92108269;14.71428571;8.942350195;5;7.5;1410.0
09/06/2013;12;8.657243816;21.64569123;24.68881761;15;8.103010134;5;7.5;1410.0
10/06/2013;12;9.247349823;23.37976751;17.21324849;14.85714286;9.300274485;5;7.5;1376.75
11/06/2013;12;9.437279152;27.46133154;15.51693416;14.71428571;9.38525556;5;7.5;1369.5
12/06/2013;12;9.615724382;25.32519935;18.72300367;14.57142857;10.6590607;5;7.5;1377.25
13/06/2013;12;9.282685512;25.76856566;14.38190741;14.42857143;10.35824038;5;7.5;1386.25
14/06/2013;12;8.881625442;29.23191469;20.63518132;14.28571429;8.477050409;5;7.5;1379.75
15/06/2013;12;8.867491166;24.98222692;15.04087556;14.14285714;8.841317379;5;7.5;1379.75
16/06/2013;11.71428571;8.826855124;18.23181862;11.10391925;14;9.192264897;4;7.5;1379.75
17/06/2013;11.42857143;8.897526502;21.94879431;12.80388318;14;7.631698948;4;7.5;1386.0
18/06/2013;11.14285714;9.440812721;23.5214718;15.59958695;14;7.735249935;4;7.5;1378.5
19/06/2013;10.85714286;9.447879859;26.79315977;14.93943805;14;6.661000351;4;7.5;1366.0
20/06/2013;10.57142857;9.720848057;26.19367855;15.96079038;14;8.122035133;4;7.5;1303.25
21/06/2013;10.28571429;9.552120141;28.00220963;19.65955638;14;9.500627865;4;7.5;1290.25
22/06/2013;10;9.277385159;23.87741378;11.45782346;14;9.262536674;4;7.5;1290.25
23/06/2013;10.14285714;9.269434629;19.91641848;11.07375634;14;9.343055396;5;7.5;1290.25
24/06/2013;10.28571429;8.953180212;23.21356518;16.83207959;14;7.197350508;5;7.5;1283.25
25/06/2013;10.42857143;9.156360424;24.38754924;15.59969429;14;7.582950311;5;7.5;1285.0
26/06/2013;10.57142857;9.034452297;26.1879143;16.91967008;14;9.71761751;5;7.5;1229.0
27/06/2013;10.71428571;8.886042403;24.94764146;14.93353428;14;8.402218881;5;7.5;1232.0
28/06/2013;10.85714286;8.397526502;25.71044289;18.26980876;14;8.019953313;5;7.5;1203.25
29/06/2013;11;8.399293286;26.65914113;14.51876755;14;7.586055164;5;7.5;1203.25
30/06/2013;11.57142857;8.326855124;19.82467096;11.17433513;14;7.767375901;6;7.5;1203.25
01/07/2013;12.14285714;7.864840989;23.6362763;22.92509296;13.85714286;6.856841183;6;7.3;1243.5
02/07/2013;12.71428571;7.785335689;27.26919012;27.88350894;13.71428571;6.933224761;6;7.3;1260.75
03/07/2013;13.28571429;7.310070671;25.7671246;28.4696997;13.57142857;7.125787469;6;7.3;1246.0
04/07/2013;13.85714286;6.881625442;25.62542031;34.97694309;13.42857143;6.660206287;6;7.3;1249.5
05/07/2013;14.42857143;6.256183746;22.91238351;36.66391873;13.28571429;5.911519868;6;7.3;1232.75
06/07/2013;15;6.099823322;22.55596119;26.95565087;13.14285714;6.41105801;6;7.3;1232.75
07/07/2013;14.42857143;6.206713781;18.01613988;18.12382461;13;6.504540909;5;7.3;1232.75
08/07/2013;13.85714286;6.713780919;22.88740513;20.34578922;12.85714286;7.101979034;5;7.3;1225.5
09/07/2013;13.28571429;6.580388693;26.34547027;34.12583404;12.71428571;7.547256422;5;7.3;1252.0
10/07/2013;12.71428571;7.163427562;26.82053992;34.83535994;12.57142857;6.605206019;5;7.3;1252.25
11/07/2013;12.14285714;7.633392226;27.37438755;21.89772952;12.42857143;8.230749885;5;7.3;1280.75
12/07/2013;11.57142857;8.398409894;33.46286867;35.34995406;12.28571429;7.944637709;5;7.3;1275.0
13/07/2013;11;8.109540636;27.41473725;30.80394329;12.14285714;7.12832394;5;7.3;1275.0
14/07/2013;10.71428571;8.301236749;18.60889615;18.32616294;12;7.602446659;3;7.3;1275.0
15/07/2013;10.42857143;8.525618375;22.37919108;16.18373822;11.57142857;8.262416449;3;7.3;1281.25
